year,total_articles,focused_articles,average_sentiment_score,positive_articles,neutral_articles,negative_articles,focus_rate,positive_rate,neutral_rate,negative_rate,conflict_and_security_count,economy_and_business_count,environment_and_climate_count,health_and_development_count,other_count,politics_and_governance_count,sport_and_football_count,tourism_and_culture_count,conflict_and_security_rate,economy_and_business_rate,environment_and_climate_rate,health_and_development_rate,other_rate,politics_and_governance_rate,sport_and_football_rate,tourism_and_culture_rate,tourist_arrivals,tourist_arrivals_next_year
1996,1,0,0.0,0,1,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108000.0,115000.0
1997,2,0,0.0,0,2,0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115000.0,91000.0
1998,7,1,-0.14285714285714285,1,4,2,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.2857142857142857,0,0,0,1,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91000.0,92000.0
1999,129,25,-0.15503875968992248,6,97,26,0.1937984496124031,0.046511627906976744,0.751937984496124,0.20155038759689922,16,0,0,6,2,0,0,1,0.64,0.0,0.0,0.24,0.08,0.0,0.0,0.04,92000.0,109000.0
2000,203,38,-0.1625615763546798,12,146,45,0.18719211822660098,0.059113300492610835,0.7192118226600985,0.22167487684729065,18,2,1,9,1,3,0,4,0.47368421052631576,0.05263157894736842,0.02631578947368421,0.23684210526315788,0.02631578947368421,0.07894736842105263,0.0,0.10526315789473684,109000.0,116000.0
2001,202,16,-0.019801980198019802,9,180,13,0.07920792079207921,0.04455445544554455,0.8910891089108911,0.06435643564356436,3,0,0,3,1,0,5,4,0.1875,0.0,0.0,0.1875,0.0625,0.0,0.3125,0.25,116000.0,156000.0
2002,217,32,-0.0967741935483871,14,168,35,0.14746543778801843,0.06451612903225806,0.7741935483870968,0.16129032258064516,3,5,1,8,1,3,7,4,0.09375,0.15625,0.03125,0.25,0.03125,0.09375,0.21875,0.125,156000.0,179000.0
2003,275,36,-0.06181818181818182,22,214,39,0.13090909090909092,0.08,0.7781818181818182,0.14181818181818182,3,6,1,10,1,3,9,3,0.08333333333333333,0.16666666666666666,0.027777777777777776,0.2777777777777778,0.027777777777777776,0.08333333333333333,0.25,0.08333333333333333,179000.0,184000.0
2004,293,32,0.0034129692832764505,23,248,22,0.10921501706484642,0.07849829351535836,0.8464163822525598,0.07508532423208192,3,3,1,10,3,2,9,1,0.09375,0.09375,0.03125,0.3125,0.09375,0.0625,0.28125,0.03125,184000.0,227000.0
2005,403,50,-0.04218362282878412,31,324,48,0.12406947890818859,0.07692307692307693,0.8039702233250621,0.11910669975186104,13,3,0,6,4,6,7,11,0.26,0.06,0.0,0.12,0.08,0.12,0.14,0.22,227000.0,290000.0
